state,Indicator,Term,President,cycle_duration,Overall Growth (%),Average Growth (%),year,Office,Winning Candidate,Winning Party,Winning Percentage,Losing Candidate,Losing Party,Losing Percentage
UNITED STATES,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,8.4,2.04,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,46.21,"TRUMP, DONALD J.",REPUBLICAN,44.92
ALABAMA,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,7.08,1.73,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.08,"CLINTON, HILLARY",DEMOCRAT,34.36
ALASKA,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,2.28,0.57,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,51.28,"CLINTON, HILLARY",DEMOCRAT,36.55
ARIZONA,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,9.76,2.36,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,48.67,,DEMOCRAT,0.0
ARKANSAS,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,9.98,2.41,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,60.57,"CLINTON, HILLARY",DEMOCRAT,33.65
CALIFORNIA,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,10.81,2.6,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,61.73,"TRUMP, DONALD J.",REPUBLICAN,31.62
COLORADO,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,12.39,2.96,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,48.16,"TRUMP, DONALD J.",REPUBLICAN,43.25
CONNECTICUT,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,7.6,1.85,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,54.57,"TRUMP, DONALD J.",REPUBLICAN,40.93
DELAWARE,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,5.26,1.3,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,53.35,"TRUMP, DONALD J.",REPUBLICAN,41.92
DISTRICT OF COLUMBIA,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,8.76,2.13,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,90.48,"TRUMP, DONALD J.",REPUBLICAN,4.07
FLORIDA,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,8.64,2.09,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,49.02,"CLINTON, HILLARY",DEMOCRAT,47.82
GEORGIA,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,9.39,2.27,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,50.77,"CLINTON, HILLARY",DEMOCRAT,45.64
HAWAII,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,8.41,2.04,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,60.98,"TRUMP, DONALD J.",REPUBLICAN,29.44
IDAHO,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,6.33,1.56,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,59.26,"CLINTON, HILLARY",DEMOCRAT,27.49
ILLINOIS,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,8.77,2.13,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,55.83,"TRUMP, DONALD J.",REPUBLICAN,38.76
INDIANA,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,11.0,2.64,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.94,"CLINTON, HILLARY",DEMOCRAT,37.77
IOWA,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,8.49,2.06,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,51.16,"CLINTON, HILLARY",DEMOCRAT,41.75
KANSAS,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,7.06,1.72,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.65,"CLINTON, HILLARY",DEMOCRAT,36.05
KENTUCKY,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,9.35,2.26,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.52,"CLINTON, HILLARY",DEMOCRAT,32.68
LOUISIANA,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,6.9,1.69,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,58.09,"CLINTON, HILLARY",DEMOCRAT,38.45
MAINE,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,10.26,2.5,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,46.35,"TRUMP, DONALD J.",REPUBLICAN,43.48
MARYLAND,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,6.08,1.49,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,60.33,"CLINTON, HILLARY",DEMOCRAT,0.0
MASSACHUSETTS,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,4.66,1.16,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,59.05,"TRUMP, DONALD J.",REPUBLICAN,32.29
MICHIGAN,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,13.04,3.12,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,47.5,"CLINTON, HILLARY",DEMOCRAT,47.27
MINNESOTA,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,7.61,1.85,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,46.45,"TRUMP, DONALD J.",REPUBLICAN,44.93
MISSISSIPPI,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,7.06,1.72,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,57.94,"CLINTON, HILLARY",DEMOCRAT,40.11
MISSOURI,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,7.6,1.85,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.77,"CLINTON, HILLARY",DEMOCRAT,38.14
MONTANA,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,3.76,0.93,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,56.47,"CLINTON, HILLARY",DEMOCRAT,35.94
NEBRASKA,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,8.42,2.04,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,58.75,"CLINTON, HILLARY",DEMOCRAT,33.7
NEVADA,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,9.03,2.19,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,47.92,"TRUMP, DONALD J.",REPUBLICAN,45.5
NEW HAMPSHIRE,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,4.77,1.18,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,46.83,"TRUMP, DONALD J.",REPUBLICAN,46.46
NEW JERSEY,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,5.18,1.27,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,55.45,"TRUMP, DONALD J.",REPUBLICAN,41.35
NEW MEXICO,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,6.28,1.54,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,48.26,"TRUMP, DONALD J.",REPUBLICAN,40.04
NEW YORK,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,9.6,2.32,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,56.14,"TRUMP, DONALD J.",REPUBLICAN,32.39
NORTH CAROLINA,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,9.61,2.32,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,49.83,"CLINTON, HILLARY",DEMOCRAT,46.17
NORTH DAKOTA,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,2.64,0.67,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,62.96,"CLINTON, HILLARY",DEMOCRAT,27.23
OHIO,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,9.19,2.23,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,51.69,"CLINTON, HILLARY",DEMOCRAT,43.56
OKLAHOMA,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,4.76,1.17,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,65.32,"CLINTON, HILLARY",DEMOCRAT,28.93
OREGON,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,10.18,2.46,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,50.07,"TRUMP, DONALD J.",REPUBLICAN,39.09
PENNSYLVANIA,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,4.57,1.12,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,48.58,"CLINTON, HILLARY",DEMOCRAT,47.85
RHODE ISLAND,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,5.87,1.44,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,54.41,"TRUMP, DONALD J.",REPUBLICAN,38.9
SOUTH CAROLINA,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,8.33,2.02,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,54.94,"CLINTON, HILLARY",DEMOCRAT,40.67
SOUTH DAKOTA,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,11.13,2.68,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,61.53,"CLINTON, HILLARY",DEMOCRAT,31.74
TENNESSEE,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,8.26,2.0,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,60.72,"CLINTON, HILLARY",DEMOCRAT,34.72
TEXAS,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,8.57,2.08,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,52.23,"CLINTON, HILLARY",DEMOCRAT,43.24
UTAH,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,11.93,2.86,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,45.54,"CLINTON, HILLARY",DEMOCRAT,27.46
VERMONT,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,3.8,0.96,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,55.72,"TRUMP, DONALD J.",REPUBLICAN,29.76
VIRGINIA,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,6.06,1.48,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,49.75,"TRUMP, DONALD J.",REPUBLICAN,44.43
WASHINGTON,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,4.51,1.11,2016,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,52.54,"TRUMP, DONALD J.",REPUBLICAN,36.83
WEST VIRGINIA,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,8.53,2.07,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,68.63,"CLINTON, HILLARY",DEMOCRAT,26.48
WISCONSIN,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,8.14,1.98,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,47.22,"CLINTON, HILLARY",DEMOCRAT,46.45
WYOMING,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,5.47,1.35,2016,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,67.4,"CLINTON, HILLARY",DEMOCRAT,21.63
