year,state,office,candidate,party_detailed,winning_percentage
2008,ALABAMA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,60.32
2008,ALABAMA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,38.74
2008,ALASKA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,59.42
2008,ALASKA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,37.89
2008,ARIZONA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.64
2008,ARIZONA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,45.12
2008,ARKANSAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,58.72
2008,ARKANSAS,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,38.86
2008,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.01
2008,CALIFORNIA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,36.95
2008,COLORADO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,53.66
2008,COLORADO,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,44.71
2008,CONNECTICUT,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.59
2008,CONNECTICUT,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,38.22
2008,DELAWARE,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.94
2008,DELAWARE,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,36.95
2008,DISTRICT OF COLUMBIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,92.46
2008,DISTRICT OF COLUMBIA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,6.53
2008,FLORIDA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.03
2008,FLORIDA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,48.22
2008,GEORGIA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,52.2
2008,GEORGIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,46.99
2008,HAWAII,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,71.45
2008,HAWAII,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,26.44
2008,IDAHO,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,61.52
2008,IDAHO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,36.09
2008,ILLINOIS,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,61.92
